Date,GLD,QQQ,SPY,TLT
2019-05-01,120.4000015258789,181.58770751953125,265.102294921875,105.19017028808594
2019-05-02,119.94000244140625,180.799560546875,264.5299987792969,104.68927764892578
2019-05-03,120.6500015258789,183.68299865722656,267.1192932128906,104.9864273071289
2019-05-06,120.80999755859375,182.55845642089844,266.0199279785156,105.27508544921875
2019-05-07,121.20999908447266,179.0022735595703,261.5775146484375,106.08163452148438
2019-05-08,120.91000366210938,178.55052185058594,261.2141418457031,105.6231918334961
2019-05-09,121.19999694824219,177.5894012451172,260.4236755371094,106.05615234375
2019-05-10,121.43000030517578,177.8104248046875,261.7319030761719,105.91183471679688
2019-05-13,122.66999816894531,171.63990783691406,255.15452575683594,106.74386596679688
2019-05-14,122.45999908447266,173.52374267578125,257.46209716796875,106.42976379394531
2019-05-15,122.38999938964844,175.9746551513672,258.97015380859375,107.08343505859375
2019-05-16,121.51000213623047,177.74314880371094,261.36859130859375,106.72686004638672
2019-05-17,120.6500015258789,175.92662048339844,259.6787109375,106.964599609375
2019-05-20,120.63999938964844,172.95669555664062,257.9618835449219,106.74386596679688
2019-05-21,120.36000061035156,174.7635955810547,260.2874755859375,106.57405090332031
2019-05-22,120.23999786376953,173.98512268066406,259.488037109375,107.18534088134766
2019-05-23,121.16999816894531,171.32275390625,256.3174133300781,108.39089965820312
2019-05-24,121.30000305175781,171.2362518310547,256.8988037109375,108.48423767089844
2019-05-28,120.83000183105469,170.59234619140625,254.50961303710938,109.26536560058594
2019-05-29,120.87000274658203,169.18907165527344,252.8015899658203,109.59648132324219
2019-05-30,121.69000244140625,169.90029907226562,253.49195861816406,110.5388412475586
2019-05-31,123.33000183105469,167.1898651123047,250.07614135742188,111.92269897460938
2019-06-03,125.11000061035156,163.50872802734375,249.44024658203125,112.67134857177734
2019-06-04,125.1500015258789,168.1125946044922,254.854736328125,111.38671875
2019-06-05,125.47000122070312,169.362060546875,257.06231689453125,110.75718688964844
2019-06-06,125.87999725341797,170.70762634277344,258.7339782714844,111.114501953125
2019-06-07,126.58999633789062,174.00433349609375,261.3230895996094,112.0758285522461
2019-06-10,125.33000183105469,176.0323486328125,262.52227783203125,111.02091217041016
2019-06-11,125.18000030517578,176.27261352539062,262.458740234375,111.08895874023438
2019-06-12,125.83000183105469,175.2538299560547,261.995361328125,111.1740493774414
2019-06-13,126.5999984741211,176.2918701171875,263.0763854980469,111.5569076538086
2019-06-14,126.55999755859375,175.5421600341797,262.7857971191406,111.8376693725586
2019-06-17,126.4800033569336,176.5994415283203,262.8856506347656,112.03327941894531
2019-06-18,127.12000274658203,179.1656494140625,265.6383056640625,112.59479522705078
2019-06-19,127.88999938964844,179.8384552001953,266.23797607421875,112.75641632080078
2019-06-20,131.11000061035156,181.5107879638672,268.7816467285156,113.05416107177734
2019-06-21,131.97999572753906,181.24171447753906,268.3910217285156,111.81209564208984
2019-06-24,133.94000244140625,181.2475128173828,268.0623779296875,112.64582824707031
2019-06-25,134.1999969482422,178.1361083984375,265.4332580566406,112.99467468261719
2019-06-26,132.97000122070312,178.96453857421875,265.1683654785156,112.27146911621094
2019-06-27,132.83999633789062,179.64849853515625,266.1087646484375,113.06269836425781
2019-06-28,133.1999969482422,179.87966918945312,267.4781799316406,112.98609924316406
2019-07-01,130.6199951171875,182.3070526123047,269.9063720703125,112.72188568115234
2019-07-02,133.41000366210938,183.02955627441406,270.6093444824219,113.59132385253906
2019-07-03,133.6300048828125,184.406982421875,272.7728576660156,114.40109252929688
2019-07-05,132.13999938964844,184.0312957763672,272.4624938964844,112.88379669189453
2019-07-08,131.2899932861328,182.7405242919922,270.96539306640625,113.03723907470703
2019-07-09,131.75,183.6556396484375,271.3031311035156,112.99469757080078
2019-07-10,133.8300018310547,185.48583984375,272.5994873046875,112.37235260009766
2019-07-11,132.6999969482422,185.3509979248047,273.23846435546875,110.87213897705078
2019-07-12,133.52999877929688,186.4202117919922,274.46173095703125,111.00000762939453
2019-07-15,133.52999877929688,187.0174102783203,274.552978515625,111.6392822265625
2019-07-16,132.39999389648438,186.0541534423828,273.6675720214844,111.306884765625
2019-07-17,134.5800018310547,185.1390838623047,271.8052062988281,112.5087661743164
2019-07-18,136.47999572753906,185.3509979248047,272.8002014160156,112.51724243164062
2019-07-19,134.47000122070312,183.99278259277344,271.28485107421875,112.25303649902344
2019-07-22,134.4499969482422,185.4569549560547,271.9512634277344,112.4661865234375
2019-07-23,133.69000244140625,186.670654296875,273.895751953125,111.85240173339844
2019-07-24,134.3699951171875,187.98065185546875,275.18292236328125,112.33831024169922
2019-07-25,133.4199981689453,186.19866943359375,273.8683166503906,111.80127716064453
2019-07-26,133.63999938964844,188.1155242919922,275.7032775878906,112.0655288696289
2019-07-29,134.52999877929688,187.4701385498047,275.2010803222656,112.09964752197266
2019-07-30,134.97999572753906,186.66104125976562,274.525634765625,112.37235260009766
